user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
1593677379087478785,1,0.8,0.0,1.0,1.0,0,0.9781206250190735,0.0,0.0,0.0,0.0
403625649,1,0.8,0.0,1.0,1.0,0,0.9894105792045593,0.0,0.0,0.0,0.0
16571005,1,0.8,0.0,1.0,1.0,0,0.9799220561981201,0.0,0.0,0.0,0.0
27655152,1,0.8,0.0,1.0,1.0,0,0.978988528251648,0.0,0.0,0.0,0.0
3000000247,1,0.8,0.0,1.0,1.0,0,0.9890273809432983,0.0,0.0,0.0,0.0
955757641376108544,1,0.8,0.0,1.0,1.0,0,0.9809128642082214,0.0,0.0,0.0,0.0
428927195,1,0.8,0.0,1.0,1.0,0,0.9778537154197693,0.0,0.0,0.0,0.0
1590688727021633536,1,0.8,0.0,1.0,1.0,0,0.977484405040741,0.0,0.0,0.0,0.0
1135548404,1,0.8,0.0,1.0,1.0,0,0.9781230688095093,0.0,0.0,0.0,0.0
27213810,1,0.8,0.0,1.0,1.0,0,0.9837096333503723,0.0,0.0,0.0,0.0
40389369,1,0.8,0.0,1.0,1.0,0,0.9786078333854675,0.0,0.0,0.0,0.0
723543348,1,0.8,0.0,1.0,1.0,0,0.9872860908508301,0.0,0.0,0.0,0.0
409720502,1,0.8,0.0,1.0,1.0,0,0.9809398055076599,0.0,0.0,0.0,0.0
1351113600115552256,1,0.8,0.0,1.0,1.0,0,0.9845129251480103,0.0,0.0,0.0,0.0
1522621022096150533,1,0.8,0.0,1.0,1.0,0,0.9825910329818726,0.0,0.0,0.0,0.0
2879680101,1,0.8,0.0,1.0,1.0,0,0.9819827675819397,0.0,0.0,0.0,0.0
387716857,1,0.8,0.0,1.0,1.0,0,0.9803060293197632,0.0,0.0,0.0,0.0
380988541,1,0.8,0.0,1.0,1.0,0,0.9809952974319458,0.0,0.0,0.0,0.0
1364822586,1,0.8,0.0,1.0,1.0,0,0.9778443574905396,0.0,0.0,0.0,0.0
68645035,1,0.8,0.0,1.0,1.0,0,0.9923692345619202,0.0,0.0,0.0,0.0
371179508,1,0.8,0.0,1.0,1.0,0,0.9849690198898315,0.0,0.0,0.0,0.0
1372022126,1,0.8,0.0,1.0,1.0,0,0.9864935874938965,0.0,0.0,0.0,0.0
239491548,1,0.8,0.0,1.0,1.0,0,0.9789484143257141,0.0,0.0,0.0,0.0
1020094310203740160,1,0.8,0.0,1.0,1.0,0,0.9803710579872131,0.0,0.0,0.0,0.0
1600798851782279173,1,0.8,0.0,1.0,1.0,0,0.9789285659790039,0.0,0.0,0.0,0.0
1041798345587662849,1,0.8,0.0,1.0,1.0,0,0.978089451789856,0.0,0.0,0.0,0.0
463117420,1,0.8,0.0,1.0,1.0,0,0.9871882796287537,0.0,0.0,0.0,0.0
478040849,1,0.8,0.0,1.0,1.0,0,0.9780506491661072,0.0,0.0,0.0,0.0
