topic_id,word,weight,rank
0,vaccine,0.04526453,1
0,cdc,0.010314887,2
0,say,0.008920723,3
0,one,0.008644995,4
0,dont,0.0070193713,5
0,virus,0.0067104157,6
0,child,0.006478169,7
0,many,0.0060647395,8
0,get,0.005944997,9
0,vaccination,0.005815861,10
0,immune,0.0055528865,11
0,system,0.005404703,12
0,autism,0.0050916267,13
0,people,0.0050166105,14
0,even,0.0049488563,15
0,also,0.004929691,16
0,measles,0.004877923,17
0,vaers,0.0048253317,18
0,data,0.0045193727,19
0,every,0.004497472,20
1,one,0.015375116,1
1,vaccine,0.013641716,2
1,like,0.012549511,3
1,people,0.010293981,4
1,also,0.008868247,5
1,chicken,0.008298024,6
1,pox,0.008028469,7
1,need,0.007550495,8
1,think,0.0074286154,9
1,shot,0.007425122,10
1,time,0.007219355,11
1,damage,0.007034724,12
1,dont,0.0069975085,13
1,get,0.0069128727,14
1,brain,0.006326765,15
1,body,0.00618322,16
1,point,0.006148468,17
1,girl,0.006118332,18
1,causing,0.005694748,19
1,human,0.0054400675,20
2,vaccine,0.04041086,1
2,people,0.014327532,2
2,mercury,0.010787849,3
2,one,0.009664662,4
2,like,0.007924962,5
2,used,0.006251593,6
2,know,0.0059541496,7
2,isnt,0.0057365675,8
2,dont,0.0057157255,9
2,would,0.005496203,10
2,body,0.0052999477,11
2,also,0.005091882,12
2,thats,0.0045902184,13
2,well,0.0045898817,14
2,thing,0.004549237,15
2,scientific,0.004471542,16
2,thimerosal,0.0044710767,17
2,even,0.004238873,18
2,good,0.00402249,19
2,contain,0.0038093277,20
3,vaccine,0.021746885,1
3,study,0.017935349,2
3,x200b,0.017577063,3
3,measles,0.01579446,4
3,read,0.01011244,5
3,strain,0.009577762,6
3,reaction,0.0082002,7
3,cdc,0.0070702173,8
3,phase,0.0068985927,9
3,found,0.0065472606,10
3,data,0.006517631,11
3,make,0.0060962997,12
3,thimerosal,0.006092058,13
3,first,0.005932851,14
3,conclusion,0.005860202,15
3,disorder,0.005654953,16
3,fever,0.005579724,17
3,rash,0.005532623,18
3,1999,0.0054358947,19
3,mercury,0.0053468607,20
4,que,0.028975314,1
4,vaccine,0.017641613,2
4,rate,0.01695806,3
4,cancer,0.013127288,4
4,animal,0.012674702,5
4,autism,0.010155526,6
4,point,0.008959557,7
4,live,0.008459108,8
4,virus,0.00824873,9
4,vaccinated,0.008224104,10
4,unvaccinated,0.0073542227,11
4,people,0.0071114544,12
4,vacuna,0.007087087,13
4,cause,0.0066487193,14
4,say,0.0065360977,15
4,con,0.006305688,16
4,covid19,0.006305155,17
4,time,0.0062648817,18
4,higher,0.0062615094,19
4,could,0.006247336,20
5,dont,0.025145898,1
5,get,0.021194156,2
5,like,0.016183095,3
5,vaccine,0.014301379,4
5,immune,0.013997356,5
5,know,0.010693461,6
5,system,0.010092556,7
5,say,0.0083070425,8
5,disease,0.008275297,9
5,people,0.007973586,10
5,would,0.007741874,11
5,want,0.007453995,12
5,still,0.0070317774,13
5,immunity,0.0066586807,14
5,youre,0.0064100614,15
5,kid,0.006315187,16
